model,horizon,mape^2,mape,MSE,log_mape
XGBoost,1,0.14262451177608854,0.17638092712108674,154.13242249641678,5.037812119263537
XGBoost,5,0.19452150154837805,0.22652040713165708,226.1384901807311,5.42114760000445
XGBoost,10,0.22932188709730003,0.26496481431320273,284.9159292712137,5.652194151738728
XGBoost,20,0.2020363482465257,0.27222295061865626,286.0041843419873,5.656006441279216
ARIMA,1,0.0010364825328656286,0.018064609789542684,2.8429903763619024,1.0448564476339046
ARIMA,5,0.005186929034826915,0.04219962250826784,13.468388900905042,2.600345376803002
ARIMA,10,0.013943812901300952,0.06457368366719758,30.569631223866107,3.4200070724955385
ARIMA,20,0.03151240097889971,0.09787465724338183,67.62345680896927,4.2139549170758706
LSTM,1,0.40550360475665104,0.42085015266117926,9.952133429554854,2.2977869432175226
LSTM,5,0.38095189038199506,0.40213427833280263,54.75502516317702,4.002869148287055
LSTM,10,0.36719105810822555,0.40087630382104683,53.41149009048539,3.978025893054163
LSTM,20,0.35062954784708206,0.39113939866077135,98.3316224860592,4.5883456690735
